tool,project,id,mutant-id,line_in_buggy,line_in_patched,structural_score,conceptual_score,sum,correct
GenProg,Closure,115,0,[731],[731],[0.938],[0.75],1.688,True
Arja,Closure,119,0,"[490, 157]","[490, 157]","[0.8, 0.882]","[0.762, 0.85]",1.647,False
Jaid,Chart,9,3,[947],[947],[0.156],[0.211],0.367,False
Jaid,Closure,62,1,[98],[98],[0.736],[0.848],1.584,False
SequenceR,Math,85,4,[198],[198],[0.6],[0.882],1.482,False
CapGen,Math,63,5,[417],[417],[0.605],[0.619],1.224,False
GenProg,Math,80,0,"[872, 1093, 1137]","[872, 1092, 1137]","[0.929, 0.571, 0.211]","[0.778, 0.632, 0.206]",1.109,False
Kali,Closure,126,0,[141],[141],[0.65],[0.783],1.433,True
SimFix,Closure,6,0,[405],[405],[0.397],[0.462],0.859,True
Kali,Closure,129,0,[1546],[1546],[0.846],[0.833],1.679,False
SequenceR,Math,82,3,[82],[82],[0.75],[0.961],1.711,False
Arja,Lang,20,0,"[3298, 3383]","[3298, 3383]","[0.362, 0.333]","[0.6, 0.5]",0.898,False
DynaMoth,Chart,25,0,"[207, 216]","[207, 217]","[0.793, 0.696]","[0.775, 0.739]",1.502,False
SimFix,Lang,41,0,[172],[172],[1.0],[0.882],1.882,False
Arja,Closure,59,0,[42],[42],[0.714],[0.692],1.406,False
ACS,Math,97,0,[138],[138],[0.067],[0.091],0.158,False
SequenceR,Math,85,11,[198],[198],[0.405],[0.789],1.194,False
jKali,Lang,22,0,[584],[584],[0.1],[0.25],0.35,False
DynaMoth,Math,41,0,"[318, 328]","[318, 329]","[0.64, 0.882]","[0.765, 1.0]",1.644,False
kPAR,Lang,24,0,[1395],[1395],[0.333],[0.611],0.944,False
AVATAR,Closure,46,0,[140],[140],[0.5],[0.414],0.914,True
GenProg,Chart,3,0,[576],[576],[0.649],[0.6],1.249,False
SketchFix,Closure,14,1,[767],[767],[1.0],[0.933],1.933,True
Nopol,Math,20,0,[704],[704],[0.2],[0.318],0.518,False
FixMiner,Time,11,0,[78],[78],[0.538],[0.75],1.288,False
RSRepair,Closure,124,0,[171],[171],[0.25],[0.235],0.485,False
SimFix,Closure,109,0,[1948],[1948],[0.6],[0.806],1.406,False
SequenceR,Math,63,1,[417],[417],[0.357],[0.533],0.89,False
SimFix,Lang,58,0,[454],[454],[0.419],[0.519],0.938,True
CapGen,Math,63,4,[417],[417],[0.571],[0.542],1.113,False
AVATAR,Closure,12,0,[112],[112],[0.684],[0.704],1.388,False
Cardumen,Chart,24,0,[126],[126],[0.566],[0.735],1.301,False
ACS,Math,4,0,"[119, 115]","[119, 115]","[0.724, 0.724]","[0.875, 0.871]",1.597,False
Kali,Closure,3,0,[405],[405],[0.7],[0.708],1.408,False
CapGen,Lang,26,1,[820],[820],[0.8],[0.963],1.763,True
SequenceR,Closure,86,2,[2465],[2465],[0.444],[0.684],1.128,False
jGenProg,Math,85,0,[199],[199],[0.0],[0.0],0.0,False
Kali,Closure,45,0,[1433],[1433],[0.714],[0.75],1.464,False
jKali,Chart,1,0,[1797],[1797],[0.826],[0.87],1.696,False
SOFix,Math,70,1,[72],[72],[0.75],[0.926],1.676,True
Jaid,Lang,51,3,[672],[672],[0.275],[0.526],0.801,False
jGenProg,Closure,21,0,[118],[118],[0.29],[0.231],0.521,False
TBar,Closure,21,0,[120],[120],[0.545],[0.761],1.306,False
SequenceR,Lang,59,1,[884],[884],[1.0],[0.892],1.892,True
Jaid,Lang,61,2,[1780],[1780],[0.692],[0.833],1.525,False
GenProg,Closure,124,0,[138],[138],[0.407],[0.484],0.891,False
Arja,Chart,25,0,"[111, 172, 240, 273]","[111, 171, 240, 278]","[0.773, 0.818, 0.143, 0.778]","[0.741, 0.8, 0.147, 0.909]",1.277,False
